reference,country,year,life_ladder,log_gdp_per_capita,social_support,healthy_life_expectancy_at_birth,freedom_to_make_life_choices,generosity,perceptions_of_corruption,positive_affect,negative_affect,billionaires
2019Mauritania,Mauritania,2019,4.153,8.556,0.798,57.3,0.628,-0.102,0.743,0.692,0.26,0
2019Mauritius,Mauritius,2019,6.241,10.043,0.913,66.7,0.893,-0.053,0.81,0.808,0.149,0
2019Mexico,Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809,0.864,0.252,4
2019Moldova,Moldova,2019,5.803,9.475,0.809,65.7,0.784,-0.092,0.884,0.631,0.262,0
2019Mongolia,Mongolia,2019,5.563,9.418,0.946,62.5,0.711,0.149,0.873,0.707,0.167,0
2019Montenegro,Montenegro,2019,5.386,9.97,0.832,68.7,0.694,-0.105,0.82,0.591,0.366,0
2019Morocco,Morocco,2019,5.057,8.925,0.535,66.2,0.757,-0.244,0.757,0.589,0.41,0
2019Mozambique,Mozambique,2019,4.932,7.155,0.742,55.2,0.87,0.073,0.682,0.587,0.384,0
2019Myanmar,Myanmar,2019,4.434,8.545,0.763,59.3,0.899,0.561,0.682,0.755,0.286,0
2019Namibia,Namibia,2019,4.436,9.173,0.845,56.8,0.739,-0.174,0.879,0.672,0.256,0
2019Nepal,Nepal,2019,5.449,8.136,0.772,64.6,0.79,0.167,0.712,0.536,0.357,0
2019Netherlands,Netherlands,2019,7.425,10.953,0.941,72.4,0.886,0.213,0.36,0.838,0.231,2
2019New Zealand,New Zealand,2019,7.205,10.666,0.939,73.4,0.912,0.157,0.234,0.816,0.191,1
2019Nicaragua,Nicaragua,2019,6.113,8.595,0.874,67.8,0.883,0.029,0.622,0.835,0.337,0
2019Niger,Niger,2019,5.004,7.106,0.677,54,0.831,0.026,0.729,0.816,0.304,0
2019Nigeria,Nigeria,2019,4.356,8.544,0.734,50.1,0.729,0.032,0.873,0.715,0.245,1
2019North Cyprus,North Cyprus,2019,5.467,,0.803,,0.793,,0.64,0.494,0.296,0
2019North Macedonia,North Macedonia,2019,5.015,9.711,0.815,65.474,0.725,0.024,0.923,0.576,0.304,0
2019Norway,Norway,2019,7.442,11.061,0.942,73.3,0.954,0.111,0.271,0.823,0.195,3
2019Pakistan,Pakistan,2019,4.443,8.453,0.617,58.9,0.685,0.124,0.776,0.581,0.424,0
2019Palestinian Territories,Palestinian Territories,2019,4.483,,0.833,,0.653,,0.829,0.625,0.4,0
2019Panama,Panama,2019,6.086,10.356,0.886,69.7,0.883,-0.199,0.869,0.878,0.244,0
2019Paraguay,Paraguay,2019,5.653,9.448,0.892,65.9,0.876,0.028,0.882,0.858,0.275,0
2019Peru,Peru,2019,5.999,9.461,0.809,68.4,0.815,-0.13,0.874,0.82,0.375,0
2019Philippines,Philippines,2019,6.268,9.095,0.845,62,0.91,-0.083,0.748,0.781,0.341,3
2019Poland,Poland,2019,6.242,10.407,0.878,69.7,0.883,-0.231,0.696,0.725,0.168,0
2019Portugal,Portugal,2019,6.095,10.457,0.876,72.6,0.882,-0.234,0.915,0.71,0.3,0
2019Romania,Romania,2019,6.13,10.306,0.842,67.5,0.848,-0.221,0.954,0.697,0.244,0
2019Russia,Russia,2019,5.441,10.205,0.91,64.7,0.715,-0.116,0.848,0.691,0.2,0
2019Rwanda,Rwanda,2019,3.268,7.708,0.489,61.7,0.869,0.064,0.168,0.736,0.418,0
2019Saudi Arabia,Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.891,-0.147,,0.732,0.238,4
2019Senegal,Senegal,2019,5.489,8.13,0.688,60,0.759,-0.019,0.796,0.789,0.332,0
2019Serbia,Serbia,2019,6.241,9.808,0.903,68.6,0.753,-0.04,0.813,0.509,0.242,0
2019Sierra Leone,Sierra Leone,2019,3.447,7.449,0.611,52.4,0.718,0.074,0.874,0.513,0.438,0
2019Singapore,Singapore,2019,6.378,11.486,0.925,77.1,0.938,0.027,0.07,0.723,0.138,7
2019Slovakia,Slovakia,2019,6.243,10.398,0.933,69.2,0.771,-0.129,0.926,0.75,0.252,0
2019Slovenia,Slovenia,2019,6.665,10.563,0.949,71.4,0.945,-0.102,0.785,0.679,0.228,0
2019South Africa,South Africa,2019,5.035,9.432,0.848,56.9,0.738,-0.134,0.82,0.801,0.268,3
2019South Korea,South Korea,2019,5.903,10.661,0.783,73.9,0.706,-0.055,0.718,0.684,0.236,0
2019Spain,Spain,2019,6.457,10.618,0.949,74.7,0.778,-0.049,0.73,0.663,0.316,3
2019Sri Lanka,Sri Lanka,2019,4.213,9.479,0.815,67.4,0.824,0.051,0.863,0.816,0.315,0
2019Swaziland,Swaziland,2019,4.396,9.07,0.759,51.27,0.597,-0.191,0.724,0.778,0.28,0
2019Sweden,Sweden,2019,7.398,10.882,0.934,72.7,0.942,0.091,0.25,0.826,0.202,10
2019Switzerland,Switzerland,2019,7.694,11.136,0.949,74.4,0.913,0.036,0.294,0.798,0.171,11
2019Taiwan Province of China,Taiwan Province of China,2019,6.537,,0.893,,0.814,,0.718,0.86,0.093,0
2019Tajikistan,Tajikistan,2019,5.464,8.126,0.88,64.4,,-0.045,0.49,0.729,0.178,0
2019Tanzania,Tanzania,2019,3.64,7.886,0.687,58,0.85,0.1,0.589,0.726,0.243,0
2019Thailand,Thailand,2019,6.022,9.824,0.903,67.4,0.898,0.309,0.877,0.843,0.208,7
2019Togo,Togo,2019,4.179,7.375,0.539,55.1,0.617,0.065,0.737,0.59,0.444,0
2019Tunisia,Tunisia,2019,4.315,9.283,0.61,67.2,0.659,-0.209,0.889,0.539,0.433,0
2019Turkey,Turkey,2019,4.872,10.246,0.792,67.2,0.631,-0.136,0.76,0.422,0.368,0
2019Turkmenistan,Turkmenistan,2019,5.474,9.651,0.982,62.6,0.892,0.285,,0.51,0.183,0
2019Uganda,Uganda,2019,4.948,7.688,0.805,56.1,0.704,0.139,0.826,0.693,0.385,0
2019Ukraine,Ukraine,2019,4.702,9.458,0.883,64.9,0.715,-0.081,0.885,0.634,0.201,1
2019United Arab Emirates,United Arab Emirates,2019,6.711,11.114,0.862,67.3,0.911,0.129,,0.793,0.284,2
2019United Kingdom,United Kingdom,2019,7.157,10.751,0.943,72.5,0.854,0.271,0.485,0.775,0.251,14
2019United States,United States,2019,6.944,11.043,0.917,68.2,0.836,0.144,0.707,0.815,0.244,181
2019Uruguay,Uruguay,2019,6.6,9.979,0.933,69.1,0.903,-0.095,0.599,0.889,0.222,0
2019Uzbekistan,Uzbekistan,2019,6.154,8.853,0.915,65.4,0.97,0.304,0.511,0.845,0.22,0
2019Venezuela,Venezuela,2019,5.081,,0.888,66.7,0.626,,0.839,0.761,0.351,0
2019Vietnam,Vietnam,2019,5.467,8.992,0.848,68.1,0.952,-0.126,0.788,0.751,0.186,0
2019Yemen,Yemen,2019,4.197,,0.87,57.5,0.651,,0.798,0.543,0.213,0
2019Zambia,Zambia,2019,3.307,8.155,0.638,55.8,0.811,0.077,0.832,0.743,0.394,0
2019Zimbabwe,Zimbabwe,2019,2.694,7.95,0.759,56.2,0.632,-0.064,0.831,0.716,0.235,0
2020Albania,Albania,2020,5.365,9.497,0.71,69.3,0.754,0.007,0.891,0.679,0.265,0
2020Argentina,Argentina,2020,5.901,9.85,0.897,69.2,0.823,-0.122,0.816,0.764,0.342,0
2020Australia,Australia,2020,7.137,10.76,0.937,74.2,0.905,0.21,0.491,0.769,0.205,0
2020Austria,Austria,2020,7.213,10.851,0.925,73.6,0.912,0.011,0.464,0.769,0.206,0
2020Bahrain,Bahrain,2020,6.173,10.62,0.848,69.7,0.945,0.132,,0.79,0.297,0
2020Bangladesh,Bangladesh,2020,5.28,8.472,0.739,65.3,0.777,-0.009,0.742,0.582,0.332,0
2020Belgium,Belgium,2020,6.839,10.771,0.904,72.4,0.767,-0.164,0.634,0.647,0.26,0
2020Benin,Benin,2020,4.408,8.102,0.507,55.1,0.783,-0.083,0.532,0.609,0.305,0
2020Bolivia,Bolivia,2020,5.559,8.998,0.805,64.2,0.877,-0.054,0.868,0.79,0.382,0
2020Bosnia and Herzegovina,Bosnia and Herzegovina,2020,5.516,9.583,0.899,68.4,0.74,0.138,0.916,0.644,0.325,0
2020Brazil,Brazil,2020,6.11,9.522,0.831,66.8,0.786,-0.053,0.729,0.692,0.389,0
2020Bulgaria,Bulgaria,2020,5.598,9.991,0.916,67.2,0.818,-0.004,0.901,0.706,0.221,0
2020Cambodia,Cambodia,2020,4.377,8.362,0.724,62.4,0.963,0.052,0.863,0.878,0.39,0
2020Cameroon,Cameroon,2020,5.241,8.175,0.72,54.3,0.675,0.049,0.837,0.63,0.386,0
2020Canada,Canada,2020,7.025,10.73,0.931,74,0.887,0.05,0.434,0.796,0.307,0
2020Chile,Chile,2020,6.151,10.02,0.888,70.1,0.781,0.033,0.812,0.815,0.336,0
2020China,China,2020,5.771,9.702,0.808,69.9,0.891,-0.103,,0.789,0.245,0
2020Colombia,Colombia,2020,5.709,9.495,0.797,68.3,0.84,-0.085,0.808,0.795,0.34,0
2020Croatia,Croatia,2020,6.508,10.166,0.923,71.4,0.837,-0.063,0.961,0.743,0.286,0
2020Cyprus,Cyprus,2020,6.26,,0.806,74.1,0.763,,0.816,0.759,0.284,0
2020Czech Republic,Czech Republic,2020,6.897,10.53,0.964,71.3,0.906,-0.127,0.884,0.832,0.29,0
2020Denmark,Denmark,2020,7.515,10.91,0.947,73,0.938,0.052,0.214,0.818,0.227,0
2020Dominican Republic,Dominican Republic,2020,5.168,9.802,0.806,66.4,0.835,-0.128,0.636,0.734,0.314,0
2020Ecuador,Ecuador,2020,5.354,9.244,0.804,69.1,0.829,-0.157,0.855,0.79,0.416,0
2020Egypt,Egypt,2020,4.472,9.383,0.673,62.3,0.77,-0.112,,0.599,0.442,0
2020El Salvador,El Salvador,2020,5.462,9.019,0.696,66.7,0.924,-0.126,0.583,0.839,0.329,0
2020Estonia,Estonia,2020,6.453,10.459,0.958,69,0.954,-0.082,0.398,0.807,0.188,0
2020Ethiopia,Ethiopia,2020,4.549,7.711,0.823,59.5,0.769,0.188,0.784,0.669,0.252,0
2020Finland,Finland,2020,7.889,10.75,0.962,72.1,0.962,-0.116,0.164,0.744,0.193,0
2020France,France,2020,6.714,10.643,0.947,74.2,0.823,-0.169,0.565,0.732,0.231,0
2020Georgia,Georgia,2020,5.123,9.569,0.718,64.1,0.764,-0.221,0.583,0.611,0.295,0
2020Germany,Germany,2020,7.312,10.833,0.905,72.8,0.864,-0.06,0.424,0.76,0.206,0
2020Ghana,Ghana,2020,5.319,8.59,0.643,58,0.824,0.2,0.847,0.713,0.253,0
2020Greece,Greece,2020,5.788,10.215,0.779,72.8,0.565,-0.241,0.764,0.684,0.322,0
2020Hong Kong S.A.R. of China,Hong Kong S.A.R. of China,2020,5.295,,0.813,,0.705,,0.38,0.609,0.21,0
2020Hungary,Hungary,2020,6.038,10.335,0.943,68.4,0.771,-0.12,0.836,0.735,0.24,0
2020Iceland,Iceland,2020,7.575,10.824,0.983,73,0.949,0.16,0.644,0.863,0.172,0
2020India,India,2020,4.225,8.703,0.617,60.9,0.906,0.075,0.78,0.752,0.383,0
2020Iran,Iran,2020,4.865,,0.757,66.6,0.6,,0.71,0.582,0.47,0
2020Iraq,Iraq,2020,4.785,9.167,0.708,61.4,0.7,-0.021,0.849,0.644,0.532,0
2020Ireland,Ireland,2020,7.035,11.323,0.96,72.5,0.882,0.014,0.356,0.797,0.246,0
2020Israel,Israel,2020,7.195,10.538,0.959,73.7,0.831,-0.049,0.748,0.621,0.243,0
2020Italy,Italy,2020,6.488,10.563,0.89,74,0.718,-0.15,0.844,0.67,0.311,0
2020Ivory Coast,Ivory Coast,2020,5.257,8.565,0.613,50.7,0.77,0.016,0.777,0.693,0.34,0
2020Japan,Japan,2020,6.118,10.58,0.887,75.2,0.806,-0.259,0.609,0.742,0.186,0
2020Jordan,Jordan,2020,4.094,9.15,0.709,67.2,0.779,-0.15,,,,0
2020Kazakhstan,Kazakhstan,2020,6.168,10.135,0.966,65.8,0.872,-0.056,0.661,0.684,0.15,0
2020Kenya,Kenya,2020,4.547,8.365,0.674,61.3,0.702,0.26,0.837,0.733,0.297,0
2020Kosovo,Kosovo,2020,6.294,,0.792,,0.88,,0.91,0.726,0.201,0
2020Kyrgyzstan,Kyrgyzstan,2020,6.25,8.503,0.902,64.7,0.935,0.103,0.931,0.803,0.258,0
2020Laos,Laos,2020,5.284,8.96,0.66,59.5,0.915,0.141,0.748,0.822,0.358,0
2020Latvia,Latvia,2020,6.229,10.3,0.928,67.4,0.82,-0.078,0.809,0.714,0.202,0
2020Lithuania,Lithuania,2020,6.391,10.504,0.953,68.5,0.824,-0.122,0.829,0.66,0.202,0
2020Malta,Malta,2020,6.157,,0.938,72.2,0.931,,0.675,0.601,0.411,0
2020Mauritius,Mauritius,2020,6.015,9.972,0.893,67,0.843,-0.037,0.772,0.767,0.138,0
2020Mexico,Mexico,2020,5.964,9.782,0.779,68.9,0.873,-0.119,0.778,0.81,0.292,0
2020Moldova,Moldova,2020,5.812,9.462,0.874,66.4,0.859,-0.058,0.941,0.727,0.268,0
2020Mongolia,Mongolia,2020,6.011,9.396,0.918,62.7,0.718,0.141,0.843,0.636,0.26,0
2020Montenegro,Montenegro,2020,5.722,9.913,0.887,68.9,0.802,0.06,0.845,0.603,0.411,0
2020Morocco,Morocco,2020,4.803,8.871,0.553,66.5,0.819,-0.229,0.803,0.587,0.256,0
2020Myanmar,Myanmar,2020,4.431,8.554,0.796,59.6,0.825,0.47,0.647,0.8,0.289,0
2020Namibia,Namibia,2020,4.451,9.104,0.741,57.1,0.666,-0.104,0.81,0.648,0.248,0
2020Netherlands,Netherlands,2020,7.504,10.901,0.944,72.5,0.935,0.151,0.281,0.784,0.247,0
2020New Zealand,New Zealand,2020,7.257,10.6,0.952,73.6,0.918,0.125,0.283,0.849,0.209,0
2020Nigeria,Nigeria,2020,5.503,8.484,0.739,50.5,0.713,0.099,0.913,0.744,0.316,0
2020North Macedonia,North Macedonia,2020,5.054,9.69,0.75,65.56,0.787,0.131,0.877,0.605,0.365,0
2020Norway,Norway,2020,7.29,11.042,0.956,73.4,0.965,0.075,0.271,0.823,0.216,0
2020Philippines,Philippines,2020,5.08,9.061,0.781,62.1,0.932,-0.116,0.744,0.804,0.327,0
2020Poland,Poland,2020,6.139,10.371,0.953,70.1,0.767,-0.007,0.787,0.76,0.329,0
2020Portugal,Portugal,2020,5.768,10.371,0.875,72.8,0.913,-0.238,0.867,0.648,0.383,0
2020Russia,Russia,2020,5.495,10.162,0.887,65.1,0.714,-0.071,0.823,0.645,0.19,0
2020Saudi Arabia,Saudi Arabia,2020,6.56,10.701,0.89,66.9,0.884,-0.111,,0.754,0.251,0
2020Serbia,Serbia,2020,6.042,9.788,0.852,69,0.843,0.149,0.824,0.603,0.358,0
2020Slovakia,Slovakia,2020,6.519,10.332,0.954,69.5,0.762,-0.075,0.901,0.764,0.274,0
2020Slovenia,Slovenia,2020,6.462,10.478,0.953,71.7,0.958,-0.081,0.797,0.61,0.314,0
2020South Africa,South Africa,2020,4.947,9.332,0.891,57.3,0.757,-0.015,0.912,0.82,0.294,0
2020South Korea,South Korea,2020,5.793,10.648,0.808,74.2,0.711,-0.106,0.665,0.64,0.247,0
2020Spain,Spain,2020,6.502,10.488,0.935,75,0.783,-0.121,0.73,0.686,0.317,0
2020Sweden,Sweden,2020,7.314,10.838,0.936,72.8,0.951,0.091,0.203,0.766,0.222,0
2020Switzerland,Switzerland,2020,7.508,11.081,0.946,74.7,0.917,-0.064,0.28,0.769,0.193,0
2020Taiwan Province of China,Taiwan Province of China,2020,6.751,,0.901,,0.799,,0.711,0.845,0.083,0
2020Tajikistan,Tajikistan,2020,5.373,8.08,0.79,64.7,,-0.04,0.55,0.749,0.344,0
2020Tanzania,Tanzania,2020,3.786,7.881,0.74,58.5,0.83,0.295,0.521,0.686,0.271,0
2020Thailand,Thailand,2020,5.885,9.769,0.867,67.6,0.84,0.273,0.918,0.783,0.326,0
2020Tunisia,Tunisia,2020,4.731,9.231,0.719,67.5,0.668,-0.202,0.877,0.585,0.439,0
2020Turkey,Turkey,2020,4.862,10.219,0.857,67.6,0.51,-0.111,0.774,0.384,0.44,0
2020Uganda,Uganda,2020,4.641,7.684,0.8,56.5,0.687,0.147,0.878,0.699,0.425,0
2020Ukraine,Ukraine,2020,5.27,9.428,0.885,65.2,0.784,0.126,0.946,0.688,0.285,0
2020United Arab Emirates,United Arab Emirates,2020,6.458,11.053,0.827,67.5,0.942,0.06,,0.752,0.298,0
2020United Kingdom,United Kingdom,2020,6.798,10.626,0.929,72.7,0.885,0.203,0.49,0.758,0.225,0
2020United States,United States,2020,7.028,11.001,0.937,68.1,0.85,0.034,0.678,0.787,0.295,0
2020Uruguay,Uruguay,2020,6.31,9.937,0.921,69.2,0.908,-0.084,0.491,0.807,0.265,0
2020Venezuela,Venezuela,2020,4.574,,0.805,66.9,0.612,,0.811,0.722,0.396,0
2020Zambia,Zambia,2020,4.838,8.117,0.767,56.3,0.75,0.056,0.81,0.691,0.345,0
2020Zimbabwe,Zimbabwe,2020,3.16,7.829,0.717,56.8,0.643,-0.009,0.789,0.703,0.346,0
